HPC_index,name,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_100,C2H6_100
1908,hMOF-21978,[Zn][Zn],"['O=C([O-])C=CC=C(C(=O)[O-])c1ccccc1', 'O=C([O-])C=CC=CC(=O)[O-]']",pcu,6.65896,4.01451,0.515835,1742.456208,1472.432574,67.95399229,7.480639544
1909,hMOF-21987,[Zn][Zn],"['O=C([O-])C=CC(O)=C(O)C(=O)[O-]', 'O=C([O-])c1cc(O)c(N=Nc2cc(O)c(C(=O)[O-])cc2O)c(O)c1']",pcu,12.38027,10.62338,0.743473,3983.883025,2055.609006,19.60880056,0.760435989
1910,hMOF-22040,[Zn][Zn],"['CC(=CC(=O)[O-])C(=O)[O-]', 'CN=C(C)C(C)=NC']",pcu,4.35128,3.5631,0.384949,333.932402,410.867229,68.25968468,8.029106627
1911,hMOF-22110,[Zn][Zn],"['O=C([O-])[C]=CC=CC(=O)[O-]', 'N=C(Br)C(Br)=NBr']",pcu,6.90009,4.99539,0.64414,1618.354247,2064.60737,46.29006348,5.041589371
1912,hMOF-22111,[Zn][Zn],"['O=C([O-])[C]=CC=CC(=O)[O-]', '[N]=C(Br)C(=N)Br']",pcu,2.94396,1.7483,0.0499696,0,0,0,0
1913,hMOF-22112,[Zn][Zn],"['N=CC(Br)=NBr', 'O=C([O-])C=CC=C(Br)C(=O)[O-]']",pcu,7.37441,6.49699,0.648317,1703.331325,1974.005066,36.80233289,3.297979317
1914,hMOF-22154,[Zn][Zn],['COC(C=CC(=O)[O-])=CC(=O)[O-]'],pcu,7.70134,5.71191,0.563211,2064.45597,1730.00652,37.05646272,3.156796211
1915,hMOF-2215,[Zn][O]([Zn])([Zn])[Zn],"['CCCc1cc(C(=O)[O-])cc(CCC)c1C(=O)[O-]', 'CCCc1cc(C#Cc2ccc(C(=O)[O-])cc2)ccc1C(=O)[O-]']",pcu,11.62841,8.80788,0.733359,3701.694657,2059.819806,29.62768026,1.526508988
1916,hMOF-22196,[Zn][Zn],"['CN=C(C)C=N', 'CC(C=CC(=O)[O-])=C(C)C(=O)[O-]']",pcu,7.89884,6.15541,0.60263,2634.853866,2011.972665,41.6476152,3.565951019
1917,hMOF-22232,[Zn][Zn],['COC(=CC(OC)=C(OC)C(=O)[O-])C(=O)[O-]'],pcu,6.46979,4.83226,0.475943,1513.155357,1440.154716,48.09067638,4.846827966
1918,hMOF-22242,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'O=C([O-])C(=O)[O-]']",pcu,6.02032,5.75865,0.46557,1074.121245,1249.588814,42.08927327,4.490409032
1919,hMOF-22243,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'O=C([O-])c1cc(F)c(C(=O)[O-])c(F)c1']",pcu,5.8965,5.29984,0.451403,924.498624,1200.885764,41.45633701,5.075247807
1920,hMOF-22246,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'O=C([O-])c1ccc(C(=O)[O-])c(F)c1']",pcu,5.8965,5.21933,0.431795,899.344506,1168.211597,39.56072844,4.535202278
1921,hMOF-22253,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'O=C([O-])c1ccc(C(=O)[O-])c(Br)c1']",pcu,5.2093,3.96587,0.396596,496.093556,970.478211,30.9710643,3.709727654
1922,hMOF-22254,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'O=C([O-])C(=O)[O-]']",pcu,5.66208,4.79577,0.437463,865.515203,1178.467725,39.15743554,4.529053339
1923,hMOF-22255,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'O=C([O-])c1ccc(C(=O)[O-])c(Br)c1']",pcu,5.4357,4.72061,0.417713,598.024699,1051.339401,32.98428142,4.297245111
1924,hMOF-22256,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'O=C([O-])c1[c]cc(C(=O)[O-])c(Br)c1']",pcu,5.20865,3.96557,0.408675,446.428627,961.812884,27.93033944,3.950353689
1925,hMOF-22258,[Zn][Zn],"['Cc1cc(C(=O)[O-])[c]cc1C(=O)[O-]', 'Cc1[c]c(C(=O)[O-])cc(C)c1C(=O)[O-]']",pcu,7.90025,5.76562,0.642794,1999.694812,1840.09417,91.81561692,11.59982673
1926,hMOF-22263,[Zn][Zn],"['CCc1cc(C(=O)[O-])c(CC)cc1C(=O)[O-]', 'CCc1cnccn1']",pcu,6.56485,5.68998,0.511192,1238.5222,1270.857143,68.45032271,7.949910071
1927,hMOF-22270,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'O=C([O-])C(=O)[O-]']",pcu,6.06108,4.26297,0.367015,740.798886,945.651464,35.11022919,4.006412809
1928,hMOF-22271,[Zn][Zn],"['Nc1cc(C(=O)[O-])c(N)cc1C(=O)[O-]', 'O=C([O-])C(=O)[O-]']",pcu,6.27523,5.00614,0.425989,851.368819,1086.79722,45.31188001,5.332672756
1929,hMOF-22280,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'O=C([O-])c1ccc(C(=O)[O-])c(O)c1O']",pcu,5.88714,5.22029,0.435376,876.310106,1125.143493,43.84842267,5.53271742
1930,hMOF-22281,[Zn][Zn],"['N#Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'O=C([O-])C(=O)[O-]']",pcu,6.02396,5.76343,0.472714,999.389946,1225.459818,46.31988516,5.553109875
1931,hMOF-22286,[Zn][Zn],['O=C([O-])C(=O)[O-]'],pcu,4.71778,3.77396,0.305137,452.152934,594.235766,29.81696299,2.516248877
1932,hMOF-22293,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'CCCOc1cc(C(=O)[O-])ccc1C(=O)[O-]']",sql,6.4089,4.7929,0.453788,825.146842,1080.348027,53.9060307,7.039145747
1933,hMOF-22296,[Zn][Zn],"['O=C([O-])C(=O)[O-]', 'O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2)cc1']",pcu,10.61718,9.84754,0.632084,2044.453351,1558.685088,32.79584213,1.896157627
1934,hMOF-22297,[Zn][Zn],"['O=C([O-])c1ccc(-c2cc(F)c(C(=O)[O-])c(F)c2F)c(F)c1', 'O=C([O-])C(=O)[O-]']",pcu,9.75754,9.07985,0.627366,1715.46869,1537.334229,37.97114058,2.776273661
1935,hMOF-22306,[Zn][Zn],"['O=C([O-])c1ccc(-c2cc(Br)c(C(=O)[O-])c(Br)c2)c(Br)c1Br', 'O=C([O-])C(=O)[O-]']",pcu,7.56652,5.79587,0.527253,764.711955,1255.891614,17.16631934,1.116064708
1936,hMOF-22311,[Zn][Zn],"['CCCc1cncc(CCC)c1-c1ccncc1', 'O=C([O-])C(=O)[O-]']",pcu,6.75615,6.04328,0.522382,1670.3004,1534.727606,66.49640656,6.444168261
1937,hMOF-22313,[Zn][Zn],"['Nc1cc(-c2cc(N)c(C(=O)[O-])cc2N)ccc1C(=O)[O-]', 'O=C([O-])C(=O)[O-]']",pcu,9.63941,8.81458,0.602994,1796.136855,1536.465532,52.53984516,4.240129953
1938,hMOF-22314,[Zn][Zn],"['Nc1cc(-c2ccc(C(=O)[O-])cc2)c(N)cc1C(=O)[O-]', 'O=C([O-])C(=O)[O-]']",pcu,8.3097,6.91747,0.531947,1541.309213,1347.15815,11.49495774,0.360784628
1939,hMOF-22320,[Zn][Zn],"['O=C([O-])c1[c][c]c(-c2[c]c(O)c(C(=O)[O-])cc2O)c[c]1', 'O=C([O-])C(=O)[O-]']",pcu,9.69064,8.98895,0.620877,1672.533897,1540.418191,57.20382798,5.344402054
